Temps,T1,T2,T3,T4,T5,Pression,Force,Temps_Magna_Power,Voltage_Magna_Power,Courant_Magna_Power
0,20.99,21.5,21.13,21.48,18.36,82.6,325.2,2,27.1,0.27
0.2,20.99,21.51,21.11,21.48,18.36,82.6,325.62,2,27.1,1.06
0.4,21,21.53,21.11,21.47,18.34,82.6,326.18,3,46.6,1.06
0.6,20.99,21.53,21.11,21.47,18.35,82.6,327.25,3,46.6,1.8
0.8,21.06,21.53,21.14,21.48,18.34,82.6,327.98,3,66.6,1.8
1,21.18,21.57,21.2,21.5,18.34,82.6,328.48,3,70.4,2.07
1.2,21.42,21.61,21.4,21.61,18.34,82.6,329.23,4,70.4,2.07
1.4,21.62,21.94,21.67,21.98,18.33,82.6,329.94,4,59.3,1.87
1.6,21.87,22.3,21.9,22.25,18.33,82.6,330.62,4,59.3,2.03
1.8,22.31,22.81,22.24,22.55,18.38,82.6,331.23,4,57,2.03
2,22.72,23.5,22.69,23.05,18.38,82.6,332.13,4,57,2.13
2.2,23.26,24.24,23.14,23.54,18.35,82.6,332.59,5,55.4,2.13
2.4,23.87,25.16,23.62,24.04,18.37,82.61,332.98,5,54.3,2.16
2.6,24.45,26.17,24.21,24.71,18.39,82.64,333.63,5,54.3,2.16
2.8,25.1,27.29,24.68,25.34,18.4,82.62,333.73,5,53.7,2.16
3,25.78,28.57,25.33,26.01,18.39,82.63,334.29,5,53.7,2.2
3.2,26.5,29.89,25.9,26.72,18.39,82.64,334.58,6,53.4,2.2
3.4,27.17,31.27,26.47,27.47,18.4,82.62,334.93,6,53.4,2.2
3.6,27.88,32.67,27.15,28.19,18.42,82.61,335.58,6,53.3,2.2
3.8,28.68,34.2,27.8,28.93,18.42,82.6,336.07,6,52.9,2.2
4,29.45,35.71,28.37,29.71,18.44,82.6,336.71,6,52.9,2.2
4.2,30.13,37.27,29.09,30.52,18.41,82.6,337.55,6,52.9,2.22
4.4,30.93,38.87,29.72,31.36,18.4,82.6,338.29,7,52.9,2.22
4.6,31.73,40.43,30.37,32.22,18.37,82.6,338.65,7,52.7,2.22
4.8,32.55,41.97,31.07,33.06,18.38,82.6,338.99,7,52.7,2.22
5,33.39,43.62,31.72,33.93,18.4,82.6,339.24,7,52.5,2.22
5.2,34.16,45.24,32.35,34.75,18.39,82.6,339.85,7,52.5,2.24
5.4,34.96,46.86,33.04,35.59,18.39,82.6,340.42,8,52.5,2.24
5.6,35.71,48.47,33.79,36.45,18.37,82.6,341,8,52.2,2.24
5.8,36.51,50.07,34.44,37.32,18.37,82.6,341.48,8,52.2,2.24
6,37.35,51.72,35.09,38.19,18.38,82.6,341.93,8,52,2.24
6.2,38.21,53.29,35.79,39.11,18.35,82.6,342.16,8,52,2.24
6.4,38.93,54.79,36.41,39.97,18.37,82.6,342.61,9,52.1,2.24
6.6,39.71,56.37,37.02,40.87,18.37,82.6,342.79,9,52,2.24
6.8,40.45,57.8,37.75,41.75,18.35,82.6,343.38,9,52,2.24
7,41.22,59.29,38.37,42.61,18.38,82.6,344.07,9,51.7,2.24
7.2,41.96,60.68,39.04,43.48,18.35,82.6,344.59,10,51.7,2.24
7.4,42.69,62.1,39.72,44.28,18.36,82.6,345.37,10,51.8,2.24
7.6,43.41,63.52,40.41,45.14,18.37,82.6,345.79,10,51.8,2.25
7.8,44.12,64.99,40.95,46.01,18.36,82.6,346.04,10,51.7,2.25
8,44.84,66.3,41.6,46.86,18.35,82.6,346.39,10,51.7,2.25
8.2,45.57,67.57,42.2,47.73,18.34,82.6,347.04,11,51.7,2.25
8.4,46.25,68.79,42.76,48.59,18.34,82.6,347.64,11,51.9,2.25
8.6,46.96,69.86,43.41,49.43,18.35,82.6,348.18,11,51.9,2.25
8.8,47.65,70.94,43.94,50.25,18.34,82.6,349.13,11,51.7,2.24
9,48.46,72.02,44.59,51.14,18.37,82.6,349.34,11,51.7,2.24
9.2,49.14,73,45.29,52.07,18.37,82.6,349.93,12,51.6,2.24
9.4,49.9,73.95,45.92,52.92,18.4,82.6,349.99,12,51.7,2.25
9.6,50.66,74.8,46.53,53.73,18.42,82.6,350.35,12,51.7,2.25
9.8,51.28,75.62,47.14,54.56,18.45,82.6,350.62,12,51.6,2.25
10,51.94,76.43,47.68,55.4,18.52,82.6,351.06,12,51.6,2.25
10.2,52.63,77.13,48.33,56.25,18.5,82.6,351.17,13,51.5,2.25
10.4,53.39,77.94,49,57.15,18.68,82.6,351.1,13,51.5,2.25
10.6,53.99,78.55,49.48,57.87,18.56,82.6,351.73,13,51.5,2.25
10.8,54.64,78.97,50.03,58.55,18.5,82.6,352.25,13,51.3,2.25
11,55.3,79.63,50.67,59.47,18.64,82.6,352.67,13,51.3,2.25
11.2,55.83,79.99,51.2,60.2,18.5,82.6,352.93,13,51.4,2.27
11.4,56.41,80.41,51.63,60.94,18.48,82.6,353.29,14,51.4,2.27
11.6,56.95,80.76,52.24,61.73,18.45,82.6,352.81,14,51.3,2.27
11.8,57.59,80.98,52.65,62.43,18.44,82.6,352.81,14,51.3,2.27
12,58.3,81.45,53.34,63.36,18.54,82.6,354.18,15,51.2,2.27
12.2,58.82,81.73,53.83,64.05,18.44,82.6,353.76,15,51.3,2.27
12.4,59.37,81.91,54.32,64.76,18.43,82.6,353.72,15,51.3,2.27
12.6,59.92,82.33,54.89,65.43,18.44,82.6,353.7,15,51.3,2.27
12.8,60.56,82.66,55.37,66.18,18.44,82.6,353.75,15,51.3,2.27
13,61.14,82.94,55.89,66.91,18.46,82.6,353.68,15,51.1,2.27
13.2,61.62,83.21,56.37,67.55,18.4,82.6,354.12,16,51.1,2.27
13.4,62.1,83.58,56.82,68.22,18.37,82.6,354.09,16,51.3,2.27
13.6,62.64,83.9,57.28,68.95,18.38,82.6,354.26,16,51.3,2.27
13.8,63.23,84.42,57.9,69.69,18.35,82.6,354.5,16,51.1,2.27
14,63.86,85.02,58.41,70.44,18.42,82.6,354.22,16,51.1,2.27
14.2,64.44,85.46,58.95,71.04,18.38,82.6,354.35,17,51.1,2.27
14.4,65,85.98,59.4,71.76,18.41,82.6,353.87,17,51.2,2.27
14.6,65.56,86.48,59.98,72.55,18.45,82.6,353.72,17,51.2,2.27
14.8,66.16,87.01,60.55,73.13,18.44,82.6,353.18,17,51.1,2.27
15,66.73,87.48,61.09,73.85,18.55,82.6,353.29,17,51.1,2.27
15.2,67.27,87.75,61.54,74.4,18.44,82.6,353.65,18,51.1,2.27
15.4,67.66,88.2,61.99,74.89,18.42,82.6,353.64,18,51.3,2.27
15.6,68.25,88.55,62.41,75.59,18.41,82.66,353.99,18,51.3,2.27
15.8,68.61,89.03,62.9,76.18,18.38,82.68,353.81,18,51.2,2.27
16,69.24,89.47,63.43,76.82,18.47,82.63,354.66,18,51.2,2.27
16.2,69.63,89.81,63.9,77.46,18.39,82.61,354.74,19,51.1,2.27
16.4,70.12,90.16,64.19,77.92,18.36,82.61,355.42,19,51.1,2.27
16.6,70.52,90.43,64.75,78.48,18.35,82.61,355.43,19,51.3,2.27
16.8,71.08,90.82,65.18,79.06,18.34,82.6,355,19,51.1,2.27
17,71.54,91.27,65.78,79.71,18.41,82.6,354.74,19,51.1,2.27
17.2,72.08,91.55,66.21,80.35,18.39,82.6,355.13,19,51.2,2.27
17.4,72.47,91.94,66.72,80.86,18.36,82.6,354.93,20,51.2,2.27
17.6,73.04,92.27,67.18,81.45,18.34,82.6,355.02,20,51.5,2.27
17.8,73.56,92.64,67.7,82.15,18.39,82.6,355.19,20,51.5,2.27
18,74.21,93.25,68.32,82.8,18.57,82.6,355.68,21,51.3,2.27
18.2,74.74,93.72,68.84,83.41,18.64,82.6,355.8,21,51.4,2.25
18.4,75.12,94.03,69.29,83.82,18.55,82.6,355.42,21,51.4,2.25
18.6,75.53,94.29,69.7,84.4,18.5,82.6,355.08,21,51.5,2.25
18.8,76.05,94.7,70.17,84.91,18.49,82.6,354.66,21,51.5,2.25
19,76.41,95.08,70.65,85.38,18.46,82.6,354.43,22,51.4,2.25
19.2,76.85,95.36,70.92,85.8,18.42,82.6,354.47,22,51.4,2.25
19.4,77.23,95.76,71.41,86.3,18.4,82.6,354.68,22,51.5,2.25
19.6,77.75,96.12,71.74,86.79,18.38,82.6,354.93,22,51.7,2.25
19.8,78.1,96.47,72.3,87.28,18.36,82.6,354.93,22,51.7,2.25
20,78.7,96.98,72.83,87.91,18.54,82.6,354.95,22,51.5,2.25
20.2,79.04,97.24,73.25,88.3,18.43,82.66,354.7,23,51.5,2.25
20.4,79.53,97.67,73.63,88.69,18.37,82.72,354.48,23,51.6,2.25
20.6,79.95,98,74.07,89.17,18.37,82.74,354.55,23,51.6,2.25
20.8,80.39,98.32,74.5,89.56,18.38,82.75,354.39,23,51.7,2.25
21,80.87,98.8,75,90.09,18.41,82.76,354.34,23,51.6,2.25
21.2,81.27,99.08,75.43,90.48,18.38,82.75,354.35,24,51.6,2.25
21.4,81.76,99.39,75.86,90.93,18.37,82.67,354.47,24,51.6,2.24
21.6,82.16,99.82,76.34,91.32,18.36,82.65,354.04,24,51.6,2.24
21.8,82.64,100.07,76.74,91.81,18.36,82.64,354.13,24,51.8,2.24
22,83.05,100.48,77.26,92.22,18.4,82.64,354.11,24,51.8,2.24
22.2,83.52,100.83,77.62,92.65,18.38,82.64,354.08,25,52,2.24
22.4,83.88,101.05,78.09,93.07,18.35,82.64,353.92,25,52,2.24
22.6,84.35,101.35,78.48,93.44,18.38,82.66,353.93,25,52,2.24
22.7999999999999,84.77,101.76,79,93.92,18.39,82.71,353.93,25,52,2.24
22.9999999999999,85.26,102.04,79.4,94.24,18.43,82.68,353.68,25,52,2.24
23.1999999999999,85.68,102.39,79.89,94.63,18.4,82.65,353.4,26,52,2.24
23.3999999999999,85.98,102.73,80.28,95.02,18.38,82.65,353.06,26,52,2.24
23.5999999999999,86.49,102.93,80.71,95.37,18.36,82.64,353.4,26,52,2.24
23.7999999999999,86.81,103.23,81.17,95.85,18.36,82.65,353.04,26,52.1,2.24
23.9999999999999,87.37,103.64,81.71,96.19,18.4,82.65,352.62,27,52.1,2.24
24.1999999999999,87.72,103.87,82.12,96.59,18.36,82.64,352.72,27,51.9,2.22
24.3999999999999,88.14,104.07,82.42,96.95,18.34,82.65,352.66,27,51.9,2.22
24.5999999999999,88.57,104.49,82.93,97.26,18.33,82.65,352.54,27,52.1,2.24
24.7999999999999,88.93,104.74,83.3,97.69,18.35,82.71,352.71,27,52.1,2.24
24.9999999999999,89.42,104.96,83.79,98.01,18.39,82.7,352,28,52.3,2.24
25.1999999999999,89.72,105.33,84.15,98.3,18.38,82.68,351.6,28,52.3,2.22
25.3999999999999,90.2,105.62,84.54,98.7,18.35,82.68,351.67,28,52.3,2.22
25.5999999999999,90.59,105.85,84.98,98.99,18.35,82.69,351.32,28,52.4,2.22
25.7999999999999,91.04,106.07,85.34,99.28,18.36,82.68,350.95,28,52.4,2.22
25.9999999999999,91.55,106.5,85.9,99.75,18.48,82.67,351.15,28,52.5,2.22
26.1999999999999,91.93,106.7,86.2,99.98,18.4,82.67,350.53,29,52.5,2.22
26.3999999999999,92.34,106.88,86.65,100.24,18.38,82.68,350.3,29,52.3,2.22
26.5999999999999,92.69,107.2,86.98,100.67,18.37,82.67,349.96,29,52.3,2.22
26.7999999999999,93.18,107.52,87.31,100.93,18.34,82.67,349.77,29,52.5,2.22
26.9999999999999,93.58,107.76,87.77,101.31,18.39,82.68,349.6,29,52.6,2.22
27.1999999999999,94.04,107.89,88.05,101.61,18.38,82.68,349.3,30,52.6,2.22
27.3999999999999,94.41,108.24,88.49,101.83,18.36,82.7,349.05,30,52.4,2.22
27.5999999999999,94.87,108.55,88.86,102.06,18.34,82.69,349.13,30,52.4,2.22
27.7999999999999,95.28,108.74,89.12,102.46,18.34,82.71,348.44,30,52.6,2.22
27.9999999999999,95.77,109,89.62,102.75,18.4,82.72,348.82,30,52.6,2.22
28.1999999999999,96.16,109.29,89.93,102.93,18.38,82.72,348.89,31,52.5,2.22
28.3999999999999,96.5,109.53,90.29,103.24,18.36,82.74,348.92,31,52.2,2.22
28.5999999999999,96.98,109.67,90.73,103.6,18.37,82.74,348.86,31,52.2,2.22
28.7999999999999,97.34,109.87,91.02,103.84,18.39,82.73,348.4,31,52.4,2.22
28.9999999999999,97.82,110.21,91.48,104.02,18.4,82.74,348.39,32,52.4,2.22
29.1999999999999,98.2,110.48,91.8,104.31,18.38,82.72,348.47,32,52.3,2.22
29.3999999999999,98.69,110.63,92.1,104.62,18.36,82.7,348.52,32,52.3,2.22
29.5999999999999,99.1,110.76,92.55,104.79,18.34,82.69,348.63,32,52.3,2.22
29.7999999999999,99.47,111.03,92.88,105.03,18.39,82.67,348.37,32,52.4,2.22
29.9999999999999,99.99,111.38,93.33,105.4,18.45,82.67,348.05,33,52.4,2.22
30.1999999999999,100.29,111.53,93.66,105.66,18.38,82.68,347.79,33,52.1,2.22
30.3999999999999,100.78,111.65,93.89,105.81,18.35,82.7,347.56,33,52.1,2.22
30.5999999999999,101.14,111.77,94.17,106.04,18.38,82.68,347.79,33,52.1,2.22
30.7999999999999,101.62,112.1,94.59,106.42,18.4,82.67,347.35,33,52.1,2.24
30.9999999999999,101.98,112.34,94.84,106.64,18.39,82.66,347.67,34,52.3,2.24
31.1999999999999,102.29,112.51,95.19,106.77,18.36,82.67,347.91,34,52.1,2.22
31.3999999999999,102.74,112.63,95.57,107.05,18.35,82.68,347.75,34,52.1,2.22
31.5999999999999,103.06,112.87,95.77,107.37,18.34,82.7,347.9,34,52,2.22
31.7999999999999,103.55,113.16,96.21,107.67,18.41,82.7,347.53,34,52,2.22
31.9999999999999,103.92,113.37,96.56,107.77,18.38,82.69,347.77,35,52.2,2.24
32.1999999999999,104.27,113.52,96.82,107.98,18.35,82.7,347.69,35,52.2,2.22
32.3999999999999,104.77,113.67,97.15,108.35,18.36,82.68,347.5,35,51.9,2.22
32.5999999999999,105.14,113.9,97.51,108.56,18.36,82.69,347.45,35,51.9,2.22
32.7999999999999,105.65,114.16,97.84,108.81,18.45,82.67,347.59,35,51.9,2.22
32.9999999999999,105.96,114.37,98.07,109.01,18.39,82.67,347.33,35,52.2,2.24
33.1999999999999,106.29,114.49,98.41,109.32,18.35,82.67,347.3,36,52.2,2.24
33.3999999999999,106.72,114.61,98.64,109.52,18.35,82.67,347.1,36,52,2.24
33.5999999999999,107.04,114.83,98.9,109.64,18.35,82.67,347.19,36,52,2.22
33.7999999999999,107.59,115.17,99.38,109.97,18.41,82.71,347.35,36,52,2.22
33.9999999999999,107.89,115.35,99.56,110.26,18.37,82.7,347.05,36,52,2.24
34.1999999999999,108.28,115.45,99.8,110.46,18.36,82.67,346.72,37,52.1,2.24
34.3999999999999,108.68,115.58,100.2,110.6,18.34,82.65,346.76,37,51.9,2.22
34.5999999999999,108.98,115.78,100.45,110.82,18.34,82.65,346.43,37,51.9,2.22
34.8,109.51,116.1,100.74,111.09,18.44,82.64,346.74,37,52,2.22
35,109.8,116.3,101.03,111.35,18.38,82.65,346.57,38,52,2.24
35.2,110.17,116.41,101.34,111.52,18.37,82.65,346.34,38,52,2.24
35.4,110.6,116.49,101.52,111.67,18.37,82.65,346.29,38,52,2.24
35.6,110.92,116.67,101.75,111.98,18.36,82.64,346.53,38,51.7,2.24
35.8,111.42,116.91,102.21,112.29,18.43,82.7,346.26,38,51.8,2.24
36,111.73,117.16,102.44,112.47,18.41,82.7,346.22,39,51.8,2.24
36.2,112,117.31,102.62,112.55,18.37,82.67,345.85,39,51.8,2.24
36.4,112.35,117.39,102.93,112.79,18.35,82.65,346.03,39,51.8,2.24
36.6,112.67,117.5,103.23,113.13,18.36,82.65,345.69,39,51.7,2.24
36.8,113.14,117.81,103.55,113.45,18.42,82.64,346.18,39,51.7,2.24
37,113.5,118,103.7,113.5,18.39,82.65,346.01,40,51.8,2.24
37.2,113.74,118.23,104.06,113.69,18.35,82.7,345.8,40,51.7,2.24
37.4,114.12,118.31,104.31,113.99,18.36,82.68,346,40,51.7,2.24
37.6,114.48,118.45,104.47,114.26,18.34,82.65,345.79,40,51.6,2.24
37.8,114.87,118.68,104.84,114.46,18.44,82.63,345.84,40,51.6,2.25
38,115.19,118.89,105.13,114.57,18.37,82.62,345.78,41,51.6,2.25
38.2,115.51,119.13,105.34,114.8,18.37,82.62,345.66,41,51.6,2.25
38.4,115.78,119.28,105.55,115.06,18.35,82.64,346.06,41,51.4,2.25
38.6,116.19,119.37,105.89,115.28,18.36,82.7,346.12,41,51.4,2.25
38.8,116.57,119.66,106.24,115.48,18.45,82.68,346.16,41,51.4,2.25
39,116.75,119.85,106.36,115.58,18.41,82.65,346.27,41,51.5,2.25
39.2,117.18,120.04,106.61,115.9,18.36,82.66,345.66,42,51.5,2.25
39.4,117.44,120.17,106.9,116.14,18.34,82.71,345.51,42,51.4,2.25
39.6,117.67,120.29,107.17,116.29,18.36,82.68,345.54,42,51.4,2.25
39.8,118.19,120.62,107.55,116.62,18.5,82.65,344.89,42,51.4,2.25
40,118.44,120.8,107.8,116.83,18.43,82.63,345.44,42,51.4,2.25
40.2,118.68,120.96,108.05,117.03,18.36,82.61,345.16,43,51.4,2.25
40.4,119.08,121.13,108.23,117.18,18.34,82.61,344.76,43,51.4,2.25
40.6,119.32,121.26,108.41,117.32,18.35,82.61,344.69,43,51.4,2.25
40.8,119.64,121.44,108.76,117.53,18.45,82.6,344.55,44,51.4,2.25
41,119.97,121.65,109.05,117.81,18.39,82.68,344.43,44,51.4,2.25
41.2,120.27,121.85,109.22,118.04,18.38,82.67,344.08,44,51.4,2.25
41.4000000000001,120.46,122.07,109.42,118.19,18.35,82.63,344.05,44,51.3,2.25
41.6000000000001,120.79,122.18,109.77,118.27,18.35,82.62,344.18,44,51.3,2.25
41.8000000000001,121.22,122.38,110.09,118.57,18.45,82.61,344.31,44,51.3,2.25
42.0000000000001,121.45,122.55,110.23,118.83,18.39,82.6,344.48,45,51.3,2.25
42.2000000000001,121.77,122.82,110.47,119.05,18.37,82.6,344.4,45,51.3,2.25
42.4000000000001,122.12,123.02,110.83,119.16,18.39,82.69,343.97,45,51.3,2.25
42.6000000000001,122.32,123.11,111.06,119.26,18.37,82.66,343.83,45,51.2,2.25
42.8000000000001,122.7,123.3,111.33,119.52,18.44,82.62,344.01,45,51.2,2.25
43.0000000000001,123.01,123.47,111.57,119.76,18.39,82.61,344.09,46,51.2,2.25
43.2000000000001,123.24,123.8,111.85,120,18.37,82.69,344.41,46,51.3,2.27
43.4000000000001,123.45,123.97,112.04,120.14,18.36,82.66,344.16,46,51.3,2.27
43.6000000000001,123.81,124.08,112.19,120.3,18.35,82.63,343.56,46,51.1,2.25
43.8000000000001,124.14,124.29,112.52,120.56,18.41,82.63,343.47,46,51.1,2.25
44.0000000000001,124.33,124.37,112.81,120.81,18.34,82.64,343.83,47,51.2,2.25
44.2000000000001,124.65,124.62,112.99,121.01,18.37,82.61,343.83,47,51.2,2.27
44.4000000000001,124.97,124.84,113.16,121.11,18.35,82.61,343.63,47,51.2,2.27
44.6000000000001,125.2,124.99,113.44,121.24,18.34,82.6,343.97,47,50.9,2.27
44.8000000000001,125.67,125.36,113.88,121.62,18.5,82.6,344.26,47,50.9,2.27
45.0000000000001,125.93,125.42,113.99,121.84,18.42,82.6,343.43,47,51.1,2.27
45.2000000000001,126.1,125.63,114.1,121.99,18.38,82.6,343.72,48,51.1,2.25
45.4000000000001,126.28,125.82,114.44,122.09,18.38,82.69,343.82,48,51.1,2.25
45.6000000000001,126.59,125.95,114.74,122.2,18.35,82.65,344.02,48,51.1,2.27
45.8000000000001,126.96,126.17,114.99,122.49,18.4,82.62,343.58,49,50.8,2.27
46.0000000000001,127.16,126.25,115.16,122.72,18.37,82.61,344.05,49,51,2.27
46.2000000000001,127.37,126.49,115.4,122.93,18.34,82.6,343.54,49,51,2.27
46.4000000000001,127.65,126.7,115.68,123.04,18.35,82.66,343.54,49,51,2.27
46.6000000000001,127.94,126.87,115.84,123.17,18.37,82.69,343.83,49,51,2.27
46.8000000000001,128.2,127.06,116.05,123.42,18.4,82.64,343.99,50,51,2.27
47.0000000000001,128.36,127.13,116.25,123.71,18.37,82.69,343.82,50,51,2.27
47.2000000000001,128.73,127.26,116.57,123.91,18.36,82.68,343.86,50,50.9,2.27
47.4000000000001,128.99,127.54,116.78,124.01,18.35,82.63,343.49,50,51,2.27
47.6000000000001,129.18,127.74,116.89,124.19,18.36,82.61,343.32,50,51,2.27
47.8000000000001,129.54,127.93,117.19,124.48,18.4,82.67,343.2,50,50.9,2.27
48.0000000000001,129.86,128.02,117.4,124.71,18.38,82.67,343.24,51,50.9,2.27
48.2000000000001,130,128.16,117.67,124.87,18.36,82.63,342.87,51,50.9,2.27
48.4000000000002,130.22,128.43,117.82,124.99,18.37,82.7,343.05,51,50.9,2.27
48.6000000000002,130.56,128.68,117.95,125.12,18.36,82.73,342.99,51,50.9,2.27
48.8000000000002,130.87,128.84,118.28,125.43,18.39,82.74,342.43,51,50.7,2.27
49.0000000000002,131.03,128.92,118.55,125.67,18.38,82.74,343.08,52,50.7,2.27
49.2000000000002,131.22,129.01,118.74,125.84,18.37,82.74,343.09,52,50.9,2.29
49.4000000000002,131.58,129.23,118.86,125.92,18.35,82.74,342.96,52,50.9,2.29
49.6000000000002,131.83,129.52,119.07,126.1,18.36,82.72,342.68,52,51,2.29
49.8000000000002,132.06,129.75,119.42,126.38,18.39,82.65,342.65,52,51,2.27
50.0000000000002,132.3,129.85,119.64,126.61,18.36,82.69,342.72,53,50.6,2.27
50.2000000000002,132.6,129.94,119.78,126.79,18.35,82.72,342.85,53,50.8,2.27
50.4000000000002,132.8,130.06,119.92,126.9,18.34,82.74,342.48,53,50.8,2.27
50.6000000000002,132.95,130.32,120.18,127.02,18.35,82.74,341.91,53,50.8,2.29
50.8000000000002,133.2,130.58,120.5,127.37,18.38,82.74,341.43,53,50.8,2.27
51.0000000000002,133.5,130.73,120.67,127.56,18.38,82.7,341.54,54,50.8,2.27
51.2000000000002,133.73,130.83,120.77,127.74,18.35,82.64,341.25,54,50.8,2.27
51.4000000000002,133.91,130.94,120.98,127.84,18.35,82.62,341.02,54,50.9,2.27
51.6000000000002,134.14,131.04,121.31,128.02,18.38,82.61,341.02,54,50.7,2.27
51.8000000000002,134.45,131.39,121.58,128.3,18.39,82.6,341.32,55,50.7,2.27
52.0000000000002,134.68,131.57,121.67,128.53,18.37,82.6,341.15,55,50.6,2.27
52.2000000000002,134.83,131.71,121.85,128.68,18.34,82.68,340.76,55,50.6,2.27
52.4000000000002,134.97,131.78,122.05,128.81,18.33,82.66,340.62,55,50.8,2.29
52.6000000000002,135.27,131.87,122.38,128.94,18.35,82.65,340.76,55,50.8,2.29
52.8000000000002,135.57,132.11,122.57,129.2,18.4,82.71,341.14,56,50.6,2.29
53.0000000000002,135.74,132.29,122.69,129.43,18.35,82.73,340.32,56,50.6,2.29
53.2000000000002,135.88,132.53,122.87,129.62,18.36,82.69,340.01,56,50.6,2.29
53.4000000000002,136.12,132.66,123.12,129.73,18.33,82.64,339.48,56,50.8,2.29
53.6000000000002,136.37,132.74,123.41,129.8,18.35,82.61,339.75,56,50.8,2.29
53.8000000000002,136.65,132.95,123.61,130.01,18.41,82.61,339.61,57,50.7,2.27
54.0000000000002,136.79,133.09,123.69,130.24,18.39,82.6,339.65,57,50.7,2.27
54.2000000000002,136.94,133.32,123.91,130.49,18.37,82.6,339.69,57,50.7,2.27
54.4000000000002,137.32,133.53,124.19,130.62,18.36,82.6,339.25,57,50.8,2.29
54.6000000000002,137.55,133.65,124.43,130.72,18.35,82.6,338.8,57,50.8,2.29
54.8000000000002,137.73,133.72,124.59,130.85,18.36,82.6,339.25,57,50.6,2.29
55.0000000000002,137.84,133.84,124.69,131.06,18.36,82.6,338.8,58,50.6,2.29
55.2000000000002,138.12,133.99,124.96,131.28,18.35,82.69,338.73,58,50.7,2.29
55.4000000000003,138.41,134.24,125.21,131.49,18.35,82.73,338.51,58,50.7,2.29
55.6000000000003,138.6,134.47,125.42,131.62,18.34,82.73,338.12,58,50.6,2.29
55.8000000000003,138.92,134.71,125.7,131.82,18.49,82.74,337.87,58,50.5,2.29
56.0000000000003,139.07,134.72,125.74,131.83,18.41,82.67,338.15,59,50.5,2.29
56.2000000000003,139.32,134.84,126.04,132.02,18.37,82.63,338.42,59,50.6,2.29
56.4000000000003,139.51,135.01,126.27,132.24,18.37,82.61,338.43,59,50.6,2.29
56.6000000000003,139.62,135.24,126.44,132.45,18.37,82.6,338.28,59,50.6,2.29
56.8000000000003,139.85,135.46,126.57,132.62,18.39,82.68,338.35,59,50.6,2.29
57.0000000000003,140.06,135.55,126.72,132.69,18.37,82.68,338.01,60,50.4,2.29
57.2000000000003,140.35,135.63,126.95,132.79,18.36,82.63,338.04,60,50.5,2.29
57.4000000000003,140.53,135.74,127.22,133,18.34,82.7,338.17,60,50.5,2.29
57.6000000000003,140.64,135.9,127.39,133.25,18.33,82.73,338.3,60,50.5,2.29
57.8000000000003,140.93,136.23,127.54,133.43,18.37,82.7,338.21,61,50.5,2.29
58.0000000000003,141.21,136.39,127.75,133.56,18.36,82.64,338.33,61,50.4,2.29
58.2000000000003,141.42,136.51,127.98,133.61,18.35,82.7,338.31,61,50.4,2.29
58.4000000000003,141.55,136.6,128.22,133.67,18.37,82.67,338.51,61,50.4,2.29
58.6000000000003,141.72,136.75,128.42,133.86,18.38,82.65,337.82,61,50.4,2.29
58.8000000000003,141.97,136.95,128.51,134.12,18.36,82.7,338,62,50.4,2.29
59.0000000000003,142.23,137.11,128.73,134.35,18.35,82.65,338.54,62,50.4,2.29
59.2000000000003,142.41,137.31,128.96,134.47,18.38,82.62,338.36,62,50.4,2.29
59.4000000000003,142.52,137.44,129.16,134.54,18.36,82.62,338.39,62,50.4,2.29
59.6000000000003,142.73,137.6,129.36,134.68,18.35,82.69,338.34,62,50.4,2.29
59.8000000000003,142.92,137.69,129.46,134.73,18.35,82.65,338.53,63,50.4,2.29
60.0000000000003,143.21,137.81,129.58,134.98,18.34,82.62,338.26,63,50.4,2.29
60.2000000000003,143.38,138.01,129.82,135.19,18.35,82.61,337.58,63,50.4,2.29
60.4000000000003,143.47,138.24,130.07,135.37,18.34,82.6,337.39,63,50.6,2.29
60.6000000000003,143.68,138.44,130.29,135.53,18.4,82.66,336.61,63,50.6,2.29
60.8000000000003,143.94,138.5,130.35,135.58,18.38,82.68,335.77,63,50.6,2.29
61.0000000000003,144.17,138.55,130.48,135.63,18.34,82.63,335.69,64,50.6,2.29
61.2000000000003,144.33,138.66,130.7,135.77,18.33,82.61,335.6,64,50.4,2.29
61.4000000000003,144.48,138.89,131.04,135.98,18.33,82.6,335.52,64,50.4,2.29
61.6000000000003,144.73,139.13,131.25,136.25,18.4,82.62,335.48,64,50.5,2.29
61.8000000000003,144.92,139.31,131.31,136.37,18.36,82.7,335.4,64,50.3,2.29
62.0000000000003,145.16,139.41,131.43,136.44,18.34,82.65,335.17,65,50.3,2.29
62.2000000000003,145.32,139.49,131.64,136.49,18.35,82.62,335.27,65,50.4,2.29
62.4000000000004,145.42,139.59,131.92,136.64,18.33,82.62,335.49,65,50.4,2.29
62.6000000000004,145.73,139.83,132.17,136.86,18.39,82.69,335.75,66,50.4,2.29
62.8000000000004,145.93,139.98,132.25,137.05,18.37,82.72,335.63,66,50.4,2.29
